Household size,Acreage,Fertilizer amount,Laborers,Education_Degree,Education_Diploma,Education_Primary,Education_Secondary,Gender_Male,Age bracket_36-45,Age bracket_46-55,Age bracket_56-65,Age bracket_above 65,Yield
7.0,2.0,50.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,300
7.0,0.25,50.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,270
7.0,3.0,251.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,270
7.0,1.5,300.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,200
3.0,0.5,200.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,180
6.0,0.5,40.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,180
6.0,0.25,150.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,180
5.0,1.0,30.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,180
5.0,1.0,120.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,180
6.0,0.5,50.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,150
5.0,1.0,40.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,150
6.0,0.25,45.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,135
3.0,0.5,25.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,125
5.0,1.0,50.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,180
1.0,0.5,30.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,100
1.0,0.25,120.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,100
5.0,0.5,20.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,100
1.0,0.5,90.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,90
5.0,0.25,50.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,90
1.0,0.5,20.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,50
6.0,0.5,20.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,540
6.0,0.5,25.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,450
6.0,0.5,30.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,450
6.0,0.5,20.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360
6.0,1.0,25.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360
6.0,1.0,20.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,360
6.0,1.0,30.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,360
2.0,1.0,50.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,180
2.0,1.0,20.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,150
5.0,0.25,25.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,90
5.0,0.25,25.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,50
9.0,1.0,50.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,600
2.0,0.5,40.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,560
