Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,CO2(tCO2),Lagging_Current_Power_Factor,Leading_Current_Power_Factor,NSM,WeekStatus_Weekend,Day_of_week_Monday,Day_of_week_Saturday,Day_of_week_Sunday,Day_of_week_Thursday,Day_of_week_Tuesday,Day_of_week_Wednesday,Load_Type_Maximum_Load,Load_Type_Medium_Load,Usage_kWh
2.95,0.0,0.0,73.21,100.0,900.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.17
4.46,0.0,0.0,66.77,100.0,1800.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
3.28,0.0,0.0,70.28,100.0,2700.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.24
3.56,0.0,0.0,68.09,100.0,3600.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.31
4.5,0.0,0.0,64.72,100.0,4500.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.82
3.56,0.0,0.0,67.76,100.0,5400.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.28
4.14,0.0,0.0,65.62,100.0,6300.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6
4.28,0.0,0.0,64.37,100.0,7200.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6
3.64,0.0,0.0,66.94,100.0,8100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.28
4.72,0.0,0.0,62.51,100.0,9000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.78
4.03,0.0,0.0,65.14,100.0,9900.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46
3.64,0.0,0.0,66.49,100.0,10800.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.24
4.97,0.0,0.0,62.32,100.0,11700.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.96
3.74,0.0,0.0,66.27,100.0,12600.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.31
